x,u,nu
0.5,0.5,0.001
0.501,0.5,0.001
0.502,0.5,0.001
0.503,0.5,0.001
0.504,0.5,0.001
0.505,0.5,0.001
0.506,0.5,0.001
0.507,0.5,0.001
0.508,0.5,0.001
0.509,0.5,0.001
0.51,0.5,0.001
0.511,0.5,0.001
0.512,0.5,0.001
0.513,0.5,0.001
0.514,0.5,0.001
0.515,0.5,0.001
0.516,0.5,0.001
0.517,0.5,0.001
0.518,0.5,0.001
0.519,0.5,0.001
0.52,0.5,0.001
0.521,0.5,0.001
0.522,0.5,0.001
0.523,0.5,0.001
0.524,0.5,0.001
0.525,0.5,0.001
0.526,0.5,0.001
0.527,0.5,0.001
0.528,0.5,0.001
0.529,0.5,0.001
0.53,0.5,0.001
0.531,0.5,0.001
0.532,0.5,0.001
0.533,0.5,0.001
0.534,0.5,0.001
0.535,0.5,0.001
0.536,0.5,0.001
0.537,0.5,0.001
0.538,0.5,0.001
0.539,0.5,0.001
0.54,0.5,0.001
0.541,0.5,0.001
0.542,0.5,0.001
0.543,0.5,0.001
0.544,0.5,0.001
0.545,0.5,0.001
0.546,0.5,0.001
0.547,0.5,0.001
0.548,0.5,0.001
0.549,0.5,0.001
0.55,0.5,0.001
0.551,0.5,0.001
0.552,0.5,0.001
0.553,0.5,0.001
0.554,0.5,0.001
0.555,0.5,0.001
0.556,0.5,0.001
0.557,0.5,0.001
0.558,0.5,0.001
0.559,0.5,0.001
0.56,0.5,0.001
0.561,0.5,0.001
0.562,0.5,0.001
0.563,0.5,0.001
0.564,0.5,0.001
0.565,0.5,0.001
0.566,0.5,0.001
0.567,0.5,0.001
0.568,0.5,0.001
0.569,0.5,0.001
0.57,0.5,0.001
0.571,0.5,0.001
0.572,0.5,0.001
0.573,0.5,0.001
0.574,0.5,0.001
0.575,0.5,0.001
0.576,0.5,0.001
0.577,0.5,0.001
0.578,0.5,0.001
0.579,0.5,0.001
0.58,0.5,0.001
0.581,0.5,0.001
0.582,0.5,0.001
0.583,0.5,0.001
0.584,0.5,0.001
0.585,0.5,0.001
0.586,0.5,0.001
0.587,0.5,0.001
0.588,0.5,0.001
0.589,0.5,0.001
0.59,0.5,0.001
0.591,0.5,0.001
0.592,0.5,0.001
0.593,0.5,0.001
0.594,0.5,0.001
0.595,0.5,0.001
0.596,0.5,0.001
0.597,0.5,0.001
0.598,0.5,0.001
0.599,0.5,0.001
0.6,0.5,0.001
0.601,0.5,0.001
0.602,0.5,0.001
0.603,0.5,0.001
0.604,0.5,0.001
0.605,0.5,0.001
0.606,0.5,0.001
0.607,0.5,0.001
0.608,0.5,0.001
0.609,0.5,0.001
0.61,0.5,0.001
0.611,0.5,0.001
0.612,0.5,0.001
0.613,0.5,0.001
0.614,0.5,0.001
0.615,0.5,0.001
0.616,0.5,0.001
0.617,0.5,0.001
0.618,0.5,0.001
0.619,0.5,0.001
0.62,0.5,0.001
0.621,0.5,0.001
0.622,0.5,0.001
0.623,0.5,0.001
0.624,0.5,0.001
0.625,0.5,0.001
0.626,0.5,0.001
0.627,0.5,0.001
0.628,0.5,0.001
0.629,0.5,0.001
0.63,0.5,0.001
0.631,0.5,0.001
0.632,0.5,0.001
0.633,0.5,0.001
0.634,0.5,0.001
0.635,0.5,0.001
0.636,0.5,0.001
0.637,0.5,0.001
0.638,0.5,0.001
0.639,0.5,0.001
0.64,0.5,0.001
0.641,0.5,0.001
0.642,0.5,0.001
0.643,0.5,0.001
0.644,0.5,0.001
0.645,0.5,0.001
0.646,0.5,0.001
0.647,0.5,0.001
0.648,0.5,0.001
0.649,0.5,0.001
0.65,0.5,0.001
0.651,0.5,0.001
0.652,0.5,0.001
0.653,0.5,0.001
0.654,0.5,0.001
0.655,0.5,0.001
0.656,0.5,0.001
0.657,0.5,0.001
0.658,0.5,0.001
0.659,0.5,0.001
0.66,0.5,0.001
0.661,0.5,0.001
0.662,0.5,0.001
0.663,0.5,0.001
0.664,0.5,0.001
0.665,0.5,0.001
0.666,0.5,0.001
0.667,0.5,0.001
0.668,0.5,0.001
0.669,0.5,0.001
0.67,0.5,0.001
0.671,0.5,0.001
0.672,0.5,0.001
0.673,0.5,0.001
0.674,0.5,0.001
0.675,0.5,0.001
0.676,0.5,0.001
0.677,0.5,0.001
0.678,0.5,0.001
0.679,0.5,0.001
0.68,0.5,0.001
0.681,0.5,0.001
0.682,0.5,0.001
0.683,0.5,0.001
0.684,0.5,0.001
0.685,0.5,0.001
0.686,0.5,0.001
0.687,0.5,0.001
0.688,0.5,0.001
0.689,0.5,0.001
0.69,0.5,0.001
0.691,0.5,0.001
0.692,0.5,0.001
0.693,0.5,0.001
0.694,0.5,0.001
0.695,0.5,0.001
0.696,0.5,0.001
0.697,0.5,0.001
0.698,0.5,0.001
0.699,0.5,0.001
0.7,0.5,0.001
0.701,0.5,0.001
0.702,0.5,0.001
0.703,0.5,0.001
0.704,0.5,0.001
0.705,0.5,0.001
0.706,0.5,0.001
0.707,0.5,0.001
0.708,0.5,0.001
0.709,0.5,0.001
0.71,0.5,0.001
0.711,0.5,0.001
0.712,0.5,0.001
0.713,0.5,0.001
0.714,0.5,0.001
0.715,0.5,0.001
0.716,0.5,0.001
0.717,0.5,0.001
0.718,0.5,0.001
0.719,0.5,0.001
0.72,0.5,0.001
0.721,0.5,0.001
0.722,0.5,0.001
0.723,0.5,0.001
0.724,0.5,0.001
0.725,0.5,0.001
0.726,0.5,0.001
0.727,0.5,0.001
0.728,0.5,0.001
0.729,0.5,0.001
0.73,0.5,0.001
0.731,0.5,0.001
0.732,0.5,0.001
0.733,0.5,0.001
0.734,0.5,0.001
0.735,0.5,0.001
0.736,0.5,0.001
0.737,0.5,0.001
0.738,0.5,0.001
0.739,0.5,0.001
0.74,0.5,0.001
0.741,0.5,0.001
0.742,0.5,0.001
0.743,0.5,0.001
0.744,0.5,0.001
0.745,0.5,0.001
0.746,0.5,0.001
0.747,0.5,0.001
0.748,0.5,0.001
0.749,0.5,0.001
0.75,0.5,0.001
0.751,0.5,0.001
0.752,0.5,0.001
0.753,0.5,0.001
0.754,0.5,0.001
0.755,0.5,0.001
0.756,0.5,0.001
0.757,0.5,0.001
0.758,0.5,0.001
0.759,0.5,0.001
0.76,0.5,0.001
0.761,0.5,0.001
0.762,0.5,0.001
0.763,0.5,0.001
0.764,0.5,0.001
0.765,0.5,0.001
0.766,0.5,0.001
0.767,0.5,0.001
0.768,0.5,0.001
0.769,0.5,0.001
0.77,0.5,0.001
0.771,0.5,0.001
0.772,0.5,0.001
0.773,0.5,0.001
0.774,0.5,0.001
0.775,0.5,0.001
0.776,0.5,0.001
0.777,0.5,0.001
0.778,0.5,0.001
0.779,0.5,0.001
0.78,0.5,0.001
0.781,0.5,0.001
0.782,0.5,0.001
0.783,0.5,0.001
0.784,0.5,0.001
0.785,0.5,0.001
0.786,0.5,0.001
0.787,0.5,0.001
0.788,0.5,0.001
0.789,0.5,0.001
0.79,0.5,0.001
0.791,0.5,0.001
0.792,0.5,0.001
0.793,0.5,0.001
0.794,0.5,0.001
0.795,0.5,0.001
0.796,0.5,0.001
0.797,0.5,0.001
0.798,0.5,0.001
0.799,0.5,0.001
0.8,0.5,0.001
0.801,0.5,0.001
0.802,0.5,0.001
0.803,0.5,0.001
0.804,0.5,0.001
0.805,0.5,0.001
0.806,0.5,0.001
0.807,0.5,0.001
0.808,0.5,0.001
0.809,0.5,0.001
0.81,0.5,0.001
0.811,0.5,0.001
0.812,0.5,0.001
0.813,0.5,0.001
0.814,0.5,0.001
0.815,0.5,0.001
0.816,0.5,0.001
0.817,0.5,0.001
0.818,0.5,0.001
0.819,0.5,0.001
0.82,0.5,0.001
0.821,0.5,0.001
0.822,0.5,0.001
0.823,0.5,0.001
0.824,0.5,0.001
0.825,0.5,0.001
0.826,0.5,0.001
0.827,0.5,0.001
0.828,0.5,0.001
0.829,0.5,0.001
0.83,0.5,0.001
0.831,0.5,0.001
0.832,0.5,0.001
0.833,0.5,0.001
0.834,0.5,0.001
0.835,0.5,0.001
0.836,0.5,0.001
0.837,0.5,0.001
0.838,0.5,0.001
0.839,0.5,0.001
0.84,0.5,0.001
0.841,0.5,0.001
0.842,0.5,0.001
0.843,0.5,0.001
0.844,0.5,0.001
0.845,0.5,0.001
0.846,0.5,0.001
0.847,0.5,0.001
0.848,0.5,0.001
0.849,0.5,0.001
0.85,0.5,0.001
0.851,0.5,0.001
0.852,0.5,0.001
0.853,0.5,0.001
0.854,0.5,0.001
0.855,0.5,0.001
0.856,0.5,0.001
0.857,0.5,0.001
0.858,0.5,0.001
0.859,0.5,0.001
0.86,0.5,0.001
0.861,0.5,0.001
0.862,0.5,0.001
0.863,0.5,0.001
0.864,0.5,0.001
0.865,0.5,0.001
0.866,0.5,0.001
0.867,0.5,0.001
0.868,0.5,0.001
0.869,0.5,0.001
0.87,0.5,0.001
0.871,0.5,0.001
0.872,0.5,0.001
0.873,0.5,0.001
0.874,0.5,0.001
0.875,0.5,0.001
0.876,0.5,0.001
0.877,0.5,0.001
0.878,0.5,0.001
0.879,0.5,0.001
0.88,0.5,0.001
0.881,0.5,0.001
0.882,0.5,0.001
0.883,0.5,0.001
0.884,0.5,0.001
0.885,0.5,0.001
0.886,0.5,0.001
0.887,0.5,0.001
0.888,0.5,0.001
0.889,0.5,0.001
0.89,0.5,0.001
0.891,0.5,0.001
0.892,0.5,0.001
0.893,0.5,0.001
0.894,0.5,0.001
0.895,0.5,0.001
0.896,0.5,0.001
0.897,0.5,0.001
0.898,0.5,0.001
0.899,0.5,0.001
0.9,0.5,0.001
0.901,0.5,0.001
0.902,0.5,0.001
0.903,0.5,0.001
0.904,0.5,0.001
0.905,0.5,0.001
0.906,0.5,0.001
0.907,0.5,0.001
0.908,0.5,0.001
0.909,0.5,0.001
0.91,0.5,0.001
0.911,0.5,0.001
0.912,0.5,0.001
0.913,0.5,0.001
0.914,0.5,0.001
0.915,0.5,0.001
0.916,0.5,0.001
0.917,0.5,0.001
0.918,0.5,0.001
0.919,0.5,0.001
0.92,0.5,0.001
0.921,0.5,0.001
0.922,0.5,0.001
0.923,0.5,0.001
0.924,0.5,0.001
0.925,0.5,0.001
0.926,0.5,0.001
0.927,0.5,0.001
0.928,0.5,0.001
0.929,0.5,0.001
